"timestamp","source","message","level"
"2025-04-22T16:37:09.000Z","TK_AZ_OLT-VE08","TK_AZ_OLT-VE08 auditd[0]: ONU Link LOST            PON 0/6 ONU 68 4C:D7:C8:2B:29:C6..","3"
"2025-04-22T16:37:09.000Z","TK_AZ_OLT-VE08","TK_AZ_OLT-VE08 auditd[0]: ONU Deregister           PON 0/6 ONU 68 llid 44 4C:D7:C8:2B:29:C6 MPCP OLT initiates DEREG..","3"
"2025-04-22T16:37:09.697Z","10.252.1.12","interface,warning sfp-sfpplus2 fcs error on link","-1"
"2025-04-22T16:37:10.000Z","TK_GPoN-OH02","TK_GPoN-OH02 auditd[0]: DHCP Snooping Illegal Server PON 0/12 Find Illegal dhcp server(offer), src-mac E0:E8:E6:D1:88:A1.","3"
"2025-04-22T16:37:10.000Z","TK_GPoN-OH02","TK_GPoN-OH02 auditd[0]: DHCP Snooping Illegal Server PON 0/12 Find Illegal dhcp server(offer), src-mac E0:E8:E6:D1:88:A1.","3"
"2025-04-22T16:37:10.000Z","TK_AZ_OLT-VE06-Garaza","TK_AZ_OLT-VE06-Garaza auditd[0]: OLT FAN                  Close!.","3"
"2025-04-22T16:37:10.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:10.000Z","TK_AZ_OLT-VE08","TK_AZ_OLT-VE08 auditd[0]: ONU Register             PON 0/6 ONU 68 llid 44 4C:D7:C8:2B:29:C6..","3"
"2025-04-22T16:37:10.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Register             PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:11.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:11.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:11.379Z","10.252.1.24","hotspot,info,debug CC:2D:21:46:D5:39 (10.5.50.180): logged out: session timeout","-1"
"2025-04-22T16:37:11.605Z","10.252.1.3","dns,error cache full, not storing","-1"
"2025-04-22T16:37:11.607Z","10.252.1.3","dns,error cache full, not storing [ignoring repeated messages]","-1"
"2025-04-22T16:37:12.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:12.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Deregister           PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:13.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:13.000Z","TK_AZ_OLT-VE08","TK_AZ_OLT-VE08 auditd[0]: ONU Deregister           PON 0/6 ONU 68 llid 44 4C:D7:C8:2B:29:C6 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:13.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link LOST            PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:13.178Z","10.220.4.1","hotspot,info,debug 70:A5:6A:B0:43:7D (10.5.50.50): logged out: session timeout","-1"
"2025-04-22T16:37:13.291Z","10.220.4.1","fetch,info Download from 10.181.4.6 FINISHED","-1"
"2025-04-22T16:37:13.887Z","10.252.1.24","hotspot,info,debug CC:2D:21:46:D5:39 (10.5.50.180): trying to log in by mac","-1"
"2025-04-22T16:37:13.893Z","10.252.1.24","hotspot,account,info,debug CC:2D:21:46:D5:39 (10.5.50.180): logged in","-1"
"2025-04-22T16:37:14.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:14.000Z","TK_AZ_OLT-VE08","TK_AZ_OLT-VE08 auditd[0]: ONU Register             PON 0/6 ONU 68 llid 44 4C:D7:C8:2B:29:C6..","3"
"2025-04-22T16:37:14.000Z","TK_AZ_OLT-VE08","TK_AZ_OLT-VE08 auditd[0]: ONU Link LOST            PON 0/6 ONU 68 4C:D7:C8:2B:29:C6..","3"
"2025-04-22T16:37:15.000Z","TK_AZ_OLT-VE05-Garaza","TK_AZ_OLT-VE05-Garaza auditd[0]: OLT FAN                  Open!.","3"
"2025-04-22T16:37:15.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:15.000Z","TK_AZ-OLT_KV03","TK_AZ-OLT_KV03 auditd[0]: ONU Link LOST            PON 0/4 ONU 7 4C:D7:C8:2B:7B:AA..","3"
"2025-04-22T16:37:15.000Z","TK_AZ-OLT_KV03","TK_AZ-OLT_KV03 auditd[0]: ONU Dying Gasp           PON 0/4 ONU 7 4C:D7:C8:2B:7B:AA .","3"
